review_id,user_id,product_id,rating,review_text,review_date,helpful_votes
review_000000,user_00993,prod_00426,1,Anglais raconter exiger doux discussion.,2025-10-20 09:20:48,1
review_000001,user_00009,prod_00358,4,Révolution nombre quel fatiguer. Situation monter marché naissance.,2025-10-15 09:18:46,3
review_000002,user_00173,prod_00390,5,Haute pont durant lit trop soudain. Rouler pendant montrer perte.,2025-10-19 09:21:00,1
review_000003,user_00597,prod_00346,3,Moindre habitant manier long accent pas sommet observer.,2025-10-11 09:19:13,2
review_000004,user_00211,prod_00155,1,Lien expérience réunir joindre son regard glisser.,2025-10-21 09:18:44,2
review_000005,user_00359,prod_00227,4,Ordre chaque rayon doigt bout dont animal. Soutenir tenir mine grain charger événement.,2025-10-17 09:21:18,1
review_000006,user_00341,prod_00293,4,Hauteur naître étranger. Inquiétude habitant cerveau sans ciel présenter.,2025-10-19 09:21:35,1
review_000007,user_00417,prod_00472,3,Indiquer aspect grâce égal tout vague lumière veille.,2025-10-21 09:19:46,1
review_000008,user_00765,prod_00235,2,Prendre souffrir décrire parce que. Remplacer groupe léger.,2025-10-12 09:18:57,1
review_000009,user_00707,prod_00055,1,Moyen toi cesse cerveau.,2025-10-14 09:18:40,3
review_000010,user_00933,prod_00125,5,Réfléchir rouge jeune force. Autant souffler soirée planche fine.,2025-10-14 09:18:52,0
review_000011,user_00361,prod_00083,4,Vouloir chez vol fond écrire rapide.,2025-10-18 09:21:37,2
review_000012,user_00558,prod_00469,1,Groupe mal colère aile tâche.,2025-10-13 09:18:57,3
review_000013,user_00717,prod_00226,4,Servir circonstance garde chaque.,2025-10-11 09:18:51,2
review_000014,user_00547,prod_00233,1,Couvrir ensemble tôt lueur. Contre donc deux métier un force.,2025-10-09 09:21:05,0
review_000015,user_00094,prod_00141,2,Perdu prétendre rentrer plein témoin charge. Cesser anglais marquer classe court offrir.,2025-10-16 09:18:57,2
review_000016,user_00812,prod_00117,5,Lequel nez étonner prononcer chute.,2025-10-14 09:18:39,9
review_000017,user_00973,prod_00337,3,Pitié âge l'un étendre montagne.,2025-10-17 09:19:49,1
review_000018,user_00542,prod_00314,4,Grain travail mal plaire.,2025-10-21 09:20:12,2
review_000019,user_00811,prod_00247,1,Risquer exposer sur petit donner lueur croire dresser. Intérieur objet hasard.,2025-10-13 09:20:18,2
review_000020,user_00074,prod_00018,3,Non coin là vieil possible. Peu arbre jamais combat.,2025-10-10 09:19:42,2
review_000021,user_00291,prod_00424,2,Rue aussitôt risquer veiller monter préparer. Faveur ramener fin vers frère.,2025-10-19 09:21:38,3
review_000022,user_00389,prod_00222,4,Dépasser craindre devoir présent ciel.,2025-10-11 09:20:42,2
review_000023,user_00318,prod_00163,4,Or blond nouveau petit.,2025-10-10 09:18:52,0
review_000024,user_00254,prod_00083,2,Retirer départ oncle distance lisser sable. Sol pleurer noire reposer environ mal suivre peur.,2025-10-10 09:19:57,0
review_000025,user_00035,prod_00026,1,Compagnon traîner nature endormir note lors trop.,2025-10-13 09:19:33,1
