product_id,name,category,subcategory,price,brand,rating,review_count,stock_quantity,is_featured,creation_date
prod_00000,Le droit d'évoluer en toute tranquilité,electronics,tablet,33.82,Lévy SA,3.9,45,922,False,2025-07-08
prod_00001,Le confort d'innover plus facilement,books,cookbooks,54.42,Legros Picard S.A.S.,4.2,42,529,False,2024-10-11
prod_00002,L'assurance d'avancer plus facilement,electronics,laptop,22.45,Martin Boulay S.A.,4.1,45,306,False,2024-12-29
prod_00003,Le droit de concrétiser vos projets naturellement,sports,fitness,115.67,Dupuis,4.6,44,772,False,2024-10-26
prod_00004,Le pouvoir d'avancer à la pointe,beauty,makeup,92.31,Dumas,3.2,46,867,False,2025-04-25
prod_00005,La liberté d'innover avant-tout,home,decor,180.26,Hamon Lacroix S.A.S.,4.1,50,214,False,2024-12-06
prod_00006,Le droit de rouler de manière efficace,electronics,headphones,165.25,Renard,3.9,43,734,False,2025-08-17
prod_00007,La possibilité de changer de manière efficace,toys,action_figures,158.04,Lucas SARL,3.6,53,641,False,2025-08-04
prod_00008,Le confort de rouler à sa source,sports,team_sports,30.53,Cordier,3.8,38,200,True,2025-07-23
prod_00009,La possibilité de concrétiser vos projets autrement,electronics,tablet,149.6,Lefort,4.6,42,479,False,2024-11-30
prod_00010,L'avantage d'avancer à sa source,sports,team_sports,84.74,Traore,3.9,42,631,False,2024-12-31
prod_00011,L'art d'avancer avant-tout,toys,action_figures,62.31,Schmitt,4.2,43,208,False,2025-08-02
prod_00012,Le confort de changer naturellement,electronics,laptop,33.21,Garnier,4.2,34,372,False,2025-05-07
prod_00013,La possibilité d'évoluer à la pointe,electronics,smartphone,58.59,Guérin Benard S.A.,4.1,47,264,False,2024-10-13
prod_00014,Le confort de concrétiser vos projets sans soucis,books,cookbooks,64.59,Marchal,4.5,43,845,False,2024-12-19
prod_00015,L'art d'évoluer autrement,sports,outdoor,91.23,Riou,5.0,51,233,False,2025-08-04
prod_00016,La possibilité de louer plus rapidement,fashion,accessories,105.53,Courtois,3.6,25,639,False,2025-01-02
prod_00017,Le plaisir de changer de manière efficace,toys,board_games,25.41,Tanguy,5.0,42,607,False,2025-07-11
prod_00018,La possibilité d'atteindre vos buts sans soucis,beauty,makeup,64.02,Loiseau,4.2,46,960,False,2025-07-04
prod_00019,L'avantage de changer plus facilement,toys,board_games,97.83,Potier,5.0,56,268,False,2025-05-08
prod_00020,L'avantage de concrétiser vos projets sans soucis,toys,educational,104.86,Antoine,4.5,41,75,False,2025-08-11
prod_00021,L'avantage de changer à l'état pur,beauty,skincare,64.86,Dumont,3.8,55,651,False,2025-01-10
prod_00022,L'avantage d'innover plus facilement,toys,board_games,28.25,Denis S.A.,4.2,46,965,False,2025-02-25
prod_00023,Le confort de louer autrement,electronics,smartphone,254.35,Huet,4.5,48,742,False,2025-08-17
prod_00024,La liberté de rouler à l'état pur,home,appliances,92.63,Boulanger,3.7,47,460,False,2025-04-03
prod_00025,Le confort d'évoluer autrement,sports,outdoor,97.54,Marin,4.6,46,101,False,2025-08-31
prod_00026,Le droit de rouler de manière efficace,beauty,fragrance,61.81,Pires,4.0,38,60,False,2025-09-05
prod_00027,Le droit d'évoluer autrement,fashion,accessories,119.24,Mendès,4.7,35,904,False,2025-05-17
prod_00028,Le confort de changer en toute tranquilité,electronics,smartphone,35.37,Hardy S.A.S.,5.0,44,121,False,2024-10-07
prod_00029,Le plaisir d'innover plus facilement,books,science,91.25,Thierry,4.1,35,248,False,2025-04-07
prod_00030,Le droit de concrétiser vos projets avant-tout,books,business,48.49,Charles SA,4.4,56,204,False,2024-12-24
prod_00031,L'assurance de rouler à sa source,electronics,smartphone,19.69,Roger,4.5,46,0,False,2025-06-18
prod_00032,La possibilité d'avancer de manière sûre,toys,dolls,32.44,Fouquet Verdier SA,4.0,44,38,False,2025-02-12
prod_00033,Le confort d'atteindre vos buts naturellement,books,fiction,48.39,Martel,3.8,44,93,False,2025-08-28
prod_00034,Le confort d'avancer à l'état pur,toys,action_figures,31.52,Baron Duhamel S.A.S.,3.9,42,444,False,2025-10-02
prod_00035,Le plaisir d'avancer plus rapidement,electronics,tablet,83.37,Duhamel et Fils,4.4,50,961,False,2025-09-15
prod_00036,La liberté d'innover à sa source,beauty,makeup,18.99,Bruneau,4.1,45,798,False,2025-04-09
prod_00037,L'assurance d'avancer à sa source,home,appliances,231.43,Bigot S.A.R.L.,4.6,44,373,False,2025-06-01
prod_00038,L'avantage de concrétiser vos projets à la pointe,toys,action_figures,21.16,Fernandez Reynaud S.A.,4.8,33,656,False,2025-04-22
prod_00039,L'avantage d'avancer à la pointe,beauty,makeup,18.69,Guibert,4.0,42,36,False,2025-08-06
